epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,6477.08,0.97352,0.79667,1.06669,0.85763,0.82093,0.9025,0.67208,1.01497,0.87057,1.10136,0.00044296,0.00044296,0.00044296
56,6598.28,0.96694,0.78102,1.05377,0.86714,0.81904,0.89855,0.65403,1.02201,0.87612,1.10213,0.000427565,0.000427565,0.000427565
57,6713.39,0.9643,0.78322,1.05825,0.88961,0.79881,0.90127,0.6677,1.01693,0.87613,1.09733,0.000412246,0.000412246,0.000412246
58,6828.59,0.96624,0.78258,1.05829,0.85695,0.82201,0.90554,0.67086,1.02879,0.86973,1.1014,0.000397019,0.000397019,0.000397019
59,6944.12,0.95413,0.75901,1.0489,0.85083,0.83067,0.90512,0.67062,1.01493,0.88615,1.09212,0.000381899,0.000381899,0.000381899
60,7059.57,0.97646,0.79527,1.06132,0.86601,0.81661,0.89979,0.66084,0.99888,0.87873,1.09611,0.000366899,0.000366899,0.000366899
61,7174.72,0.9564,0.76188,1.05009,0.86004,0.82365,0.90621,0.67407,1.01617,0.85272,1.10335,0.000352037,0.000352037,0.000352037
62,7300.17,0.94268,0.7476,1.04309,0.8674,0.81769,0.90261,0.66561,1.00648,0.8861,1.08873,0.000337325,0.000337325,0.000337325
63,7415.52,0.92936,0.72899,1.037,0.83935,0.83549,0.89898,0.66557,0.99106,0.86854,1.08942,0.000322778,0.000322778,0.000322778
64,7531.35,0.94719,0.73926,1.04122,0.86169,0.82836,0.90862,0.67671,1.0019,0.85295,1.09167,0.000308412,0.000308412,0.000308412
65,7653.35,0.92152,0.73032,1.03227,0.83606,0.81823,0.89743,0.66539,1.0148,0.84509,1.10242,0.000294239,0.000294239,0.000294239
66,7769.7,0.9264,0.71232,1.03003,0.85837,0.83034,0.90694,0.67229,1.01086,0.84504,1.0934,0.000280275,0.000280275,0.000280275
67,7884.7,0.93145,0.7344,1.03907,0.88011,0.82012,0.90744,0.67435,1.0101,0.84318,1.10578,0.000266532,0.000266532,0.000266532
68,8000.13,0.92006,0.70733,1.03063,0.88853,0.81047,0.90639,0.67574,1.00161,0.84033,1.09216,0.000253024,0.000253024,0.000253024
69,8115.7,0.91326,0.70137,1.02222,0.86802,0.82902,0.90751,0.67743,0.9955,0.82515,1.09306,0.000239766,0.000239766,0.000239766
70,8236.33,0.91082,0.69905,1.02772,0.87226,0.81634,0.90745,0.675,1.00077,0.8384,1.09694,0.000226769,0.000226769,0.000226769
71,8352.35,0.91254,0.69604,1.02925,0.87601,0.81929,0.90796,0.67505,1.00671,0.84611,1.09358,0.000214046,0.000214046,0.000214046
72,8474.42,0.90168,0.70261,1.02706,0.87032,0.82686,0.90508,0.67412,1.00359,0.84902,1.09991,0.000201611,0.000201611,0.000201611
73,8590.23,0.89875,0.69812,1.02026,0.87018,0.82659,0.91027,0.67798,1.00088,0.83326,1.09841,0.000189475,0.000189475,0.000189475
74,8711.73,0.90219,0.68606,1.02079,0.87156,0.82956,0.90808,0.67861,1.00887,0.82441,1.09937,0.000177651,0.000177651,0.000177651
75,8832.6,0.89679,0.68808,1.019,0.88741,0.81553,0.90982,0.67892,1.00739,0.84218,1.0993,0.000166149,0.000166149,0.000166149
76,8953.35,0.8798,0.68563,1.02532,0.87573,0.82295,0.91037,0.67855,1.003,0.84545,1.09262,0.000154982,0.000154982,0.000154982
77,9070.52,0.88891,0.67194,1.01566,0.8794,0.82204,0.90865,0.67597,1.01005,0.85049,1.10091,0.000144161,0.000144161,0.000144161
78,9186.72,0.88094,0.67092,1.01225,0.88467,0.81505,0.90792,0.67436,0.99989,0.85022,1.09804,0.000133695,0.000133695,0.000133695
79,9302.29,0.88975,0.66799,1.02312,0.90078,0.80043,0.90978,0.67846,1.01046,0.84304,1.10213,0.000123596,0.000123596,0.000123596
80,9418.21,0.87838,0.67126,1.02199,0.87306,0.83285,0.91321,0.67909,1.00913,0.83413,1.0998,0.000113873,0.000113873,0.000113873
81,9538.84,0.88018,0.67004,1.0163,0.86688,0.83069,0.90932,0.67723,0.99949,0.82986,1.09914,0.000104537,0.000104537,0.000104537
82,9659.62,0.87204,0.66239,1.01294,0.85853,0.84123,0.91149,0.6799,1.00545,0.82887,1.10664,9.55951e-05,9.55951e-05,9.55951e-05
83,9781.47,0.87911,0.66608,1.01603,0.8535,0.85469,0.91552,0.68394,1.00729,0.82724,1.10251,8.70577e-05,8.70577e-05,8.70577e-05
84,9897.43,0.8699,0.64635,1.00687,0.87752,0.83667,0.91428,0.68479,1.00342,0.82228,1.1003,7.89327e-05,7.89327e-05,7.89327e-05
85,10018,0.86867,0.63952,1.01025,0.87975,0.8274,0.91344,0.68271,1.00581,0.82677,1.10122,7.12282e-05,7.12282e-05,7.12282e-05
86,10134.4,0.86819,0.65638,1.0147,0.87663,0.82551,0.91316,0.68236,1.00442,0.83109,1.09845,6.39518e-05,6.39518e-05,6.39518e-05
87,10251.4,0.87018,0.6396,1.00507,0.88556,0.82639,0.91303,0.68275,1.00245,0.83029,1.0986,5.71106e-05,5.71106e-05,5.71106e-05
88,10366.9,0.87486,0.65492,1.01432,0.8799,0.82789,0.91275,0.67978,1.00287,0.83149,1.09863,5.07115e-05,5.07115e-05,5.07115e-05
89,10482.2,0.87135,0.65444,1.00523,0.90064,0.80556,0.91178,0.67815,1.00999,0.84597,1.10566,4.47606e-05,4.47606e-05,4.47606e-05
90,10597.6,0.85488,0.63839,1.00119,0.8818,0.82174,0.91109,0.67964,1.00505,0.83223,1.09947,3.9264e-05,3.9264e-05,3.9264e-05
91,10713,0.79096,0.56067,0.98097,0.88129,0.82891,0.90944,0.67662,1.0172,0.8395,1.10748,3.4227e-05,3.4227e-05,3.4227e-05
92,10834.9,0.78382,0.5473,0.96678,0.88996,0.82448,0.91072,0.67532,1.0198,0.8331,1.11252,2.96546e-05,2.96546e-05,2.96546e-05
93,10949.4,0.78592,0.55154,0.97282,0.87339,0.84304,0.9094,0.67817,1.01407,0.83144,1.10965,2.55513e-05,2.55513e-05,2.55513e-05
94,11063.6,0.77536,0.54452,0.97015,0.8814,0.83522,0.91111,0.67979,1.01114,0.82847,1.10836,2.19212e-05,2.19212e-05,2.19212e-05
95,11177.1,0.77582,0.53612,0.97371,0.88732,0.82875,0.91044,0.67823,1.01619,0.83571,1.11269,1.87678e-05,1.87678e-05,1.87678e-05
96,11291,0.77877,0.54249,0.96851,0.88833,0.82632,0.91011,0.67795,1.01124,0.83026,1.10565,1.60943e-05,1.60943e-05,1.60943e-05
97,11405,0.77453,0.5329,0.9707,0.88085,0.83549,0.90992,0.67816,1.01255,0.83241,1.10929,1.39032e-05,1.39032e-05,1.39032e-05
98,11519.1,0.76608,0.53033,0.96571,0.87934,0.83306,0.90955,0.67773,1.01619,0.83254,1.1118,1.21968e-05,1.21968e-05,1.21968e-05
99,11633.1,0.77178,0.53432,0.96255,0.884,0.8303,0.91087,0.67802,1.01277,0.83337,1.11015,1.09768e-05,1.09768e-05,1.09768e-05
100,11747.2,0.76652,0.53644,0.96377,0.881,0.83055,0.91006,0.67834,1.01157,0.8322,1.11061,1.02443e-05,1.02443e-05,1.02443e-05
